Topic,Source,Date Accessed,Question,Answer,Source:
Vaccines General Info,Department of Health,3/31/2021,How do vaccines differ?,"Vaccines differ in their composition and how they trigger the immune response to create antibodies. These antibodies protect the body from microorganisms and serve as protection. Vaccines can be inactivated, weakened or killed copies of the whole or part of the virus or bacteria, or genetic product (like mRNA vaccines) that creates protein copies without causing disease.",https://doh.gov.ph/node/28189
Vaccines General Info,Department of Health,3/31/2021,How does a flu vaccine differ from a COVID vaccine?,"Vaccines differ in their composition and how they trigger the immune response to create antibodies. These antibodies protect the body from microorganisms and serve as protection. Vaccines can be inactivated, weakened or killed copies of the whole or part of the virus or bacteria, or genetic product (like mRNA vaccines) that creates protein copies without causing disease.",
Vaccines General Info,Centers for Disease Control and Prevention,3/30/2021,Can a COVID-19 vaccine make me sick with COVID?,"None of the authorized and recommended COVID-19 vaccines or COVID-19 vaccines currently in development contain the live virus that causes COVID-19. This means that a COVID-19 vaccine cannot make you sick with COVID-19. There are several different types of vaccines in development. All of them teach our immune systems how to recognize and fight the virus that causes COVID-19. Sometimes this process can cause symptoms, such as fever. These symptoms are normal and are a sign that the body is building protection against the virus that causes COVID-19.",
Vaccines General Info,Centers for Disease Control and Prevention,3/30/2021,Will COVID-19 vaccine give me COVID?,"None of the authorized and recommended COVID-19 vaccines or COVID-19 vaccines currently in development contain the live virus that causes COVID-19. This means that a COVID-19 vaccine cannot make you sick with COVID-19. There are several different types of vaccines in development. All of them teach our immune systems how to recognize and fight the virus that causes COVID-19. Sometimes this process can cause symptoms, such as fever. These symptoms are normal and are a sign that the body is building protection against the virus that causes COVID-19.",
Vaccines General Info,Centers for Disease Control and Prevention,3/30/2021,"After getting a COVID-19 vaccine, will I test positive for COVID-19 on a viral test?","Neither the recently authorized and recommended vaccines nor the other COVID-19 vaccines currently in clinical trials in the United States can cause you to test positive on viral tests, which are used to see if you have a current infection.​ If your body develops an immune response—the goal of vaccination—there is a possibility you may test positive on some antibody tests. Antibody tests indicate you had a previous infection and that you may have some level of protection against the virus. Experts are currently looking at how COVID-19 vaccination may affect antibody testing results.",
Vaccines General Info,Centers for Disease Control and Prevention,3/30/2021,Will a COVID-19 vaccine alter my DNA?,"COVID-19 vaccines do not change or interact with your DNA in any way. There are currently two types of COVID-19 vaccines that have been authorized for use in the United States: messenger RNA (mRNA) vaccines and viral vector vaccines. At the end of the process, our bodies have learned how to protect against future infection from COVID-19. That immune response and the antibodies that our bodies make protect us from getting infected if the real virus enters our bodies.",
Vaccines General Info,Department of Health,3/30/2021,How can I protect myself from getting exposed to COVID-19 even after the vaccination?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance.",
Vaccines General Info,Department of Health,3/30/2021,Can I still get COVID after getting the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance.",
Vaccines General Info,Department of Health,3/30/2021,Can I go out after I have been vaccinated?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance.",
Vaccines General Info,Department of Health,3/30/2021,Do I still need to wear a mask after getting the vaccine?,"Even if the vaccine protects from symptomatic, and moderate to severe forms of COVID-19, you can add protection by doing the BIDA behaviors: Wearing of Mask and Face Shield, Wash/Sanitize Hands, Avoid Crowded Places, Ensure good ventilation, and Maintain 1 meter distance.",
